last_name, first_name,player_id,oaa,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_fieldout_2stars,n_opp_2stars,n_2star_percent,n_fieldout_1stars,n_opp_1stars,n_1star_percent
Gamel, Ben,592325,-9,1,41,2.4,6,16,37.5,24,37,64.9,30,35,85.7,42,47,89.4
Pence, Hunter,452254,-11,3,46,6.5,3,20,15.0,20,36,55.6,49,59,83.1,35,39,89.7
Werth, Jayson,150029,-11,1,48,2.1,1,15,6.7,9,15,60.0,22,30,73.3,19,19,100.0
Pederson, Joc,592626,-11,3,52,5.8,2,30,6.7,28,42,66.7,47,57,82.5,39,41,95.1
Smith Jr, Dwight,596105,-12,0,21,0.0,1,12,8.3,5,14,35.7,15,19,78.9,14,16,87.5
Jimenez, Eloy,650391,-12,0,15,0.0,1,7,14.3,7,18,38.9,9,10,90.0,10,11,90.9
Grossman, Robbie,543257,-12,5,59,8.5,9,30,30.0,19,35,54.3,33,38,86.8,52,58,89.7
Soler, Jorge,624585,-13,0,35,0.0,4,20,20.0,9,17,52.9,21,27,77.8,34,38,89.5
Winker, Jesse,608385,-13,0,22,0.0,1,9,11.1,5,16,31.3,22,30,73.3,15,17,88.2
Naquin, Tyler,571980,-13,1,31,3.2,4,25,16.0,13,25,52.0,34,41,82.9,36,40,90.0
Dietrich, Derek,518618,-14,0,12,0.0,0,6,0.0,1,9,11.1,6,9,66.7,5,7,71.4
Mazara, Nomar,608577,-15,2,94,2.1,12,39,30.8,29,51,56.9,67,79,84.8,70,81,86.4
Frazier, Clint,640449,-16,0,11,0.0,1,8,12.5,4,11,36.4,8,17,47.1,10,11,90.9
Hernandez, Teoscar,606192,-16,1,48,2.1,4,13,30.8,24,37,64.9,26,35,74.3,34,41,82.9
Braun, Ryan,460075,-16,2,60,3.3,4,35,11.4,35,48,72.9,41,53,77.4,39,46,84.8
Span, Denard,452655,-17,0,72,0.0,7,33,21.2,26,53,49.1,65,77,84.4,43,46,93.5
Palka, Daniel,594953,-17,0,7,0.0,0,8,0.0,1,13,7.7,6,9,66.7,13,14,92.9
Bautista, Jose,430832,-17,2,52,3.8,2,27,7.4,13,26,50.0,35,43,81.4,38,44,86.4
Rosario, Eddie,592696,-18,3,80,3.8,8,34,23.5,33,53,62.3,52,67,77.6,53,61,86.9
Williams, Nick,608384,-18,0,37,0.0,3,15,20.0,5,16,31.3,22,29,75.9,16,19,84.2
Tomas, Yasmany,630111,-19,0,22,0.0,0,10,0.0,8,25,32.0,13,17,76.5,21,21,100.0
Jay, Jon,445055,-20,2,57,3.5,3,28,10.7,22,37,59.5,37,44,84.1,34,40,85.0
Hoskins, Rhys,656555,-20,0,16,0.0,0,11,0.0,2,13,15.4,16,24,66.7,19,23,82.6
Blackmon, Charlie,453568,-21,1,103,1.0,5,52,9.6,46,73,63.0,97,109,89.0,86,90,95.6
Benintendi, Andrew,643217,-21,2,83,2.4,5,32,15.6,19,39,48.7,40,45,88.9,46,50,92.0
Martinez, Jose,500874,-21,0,36,0.0,2,17,11.8,9,23,39.1,12,19,63.2,14,16,87.5
Fowler, Dexter,451594,-21,0,73,0.0,2,29,6.9,16,38,42.1,57,69,82.6,77,79,97.5
Upton, Justin,457708,-21,1,80,1.3,10,40,25.0,33,51,64.7,47,60,78.3,68,76,89.5
Mancini, Trey,641820,-23,1,38,2.6,4,25,16.0,15,31,48.4,30,44,68.2,35,40,87.5
McCutchen, Andrew,457705,-23,2,91,2.2,7,45,15.6,46,76,60.5,71,89,79.8,62,69,89.9
Harper, Bryce,547180,-23,1,75,1.3,10,33,30.3,30,57,52.6,73,89,82.0,56,66,84.8
Jones, Adam,430945,-24,1,105,1.0,5,53,9.4,37,71,52.1,73,83,88.0,87,92,94.6
Cespedes, Yoenis,493316,-24,1,52,1.9,5,22,22.7,11,24,45.8,23,36,63.9,27,31,87.1
Schwarber, Kyle,656941,-24,1,49,2.0,4,30,13.3,7,24,29.2,34,46,73.9,37,41,90.2
Santana, Domingo,570267,-25,0,56,0.0,1,28,3.6,18,36,50.0,43,56,76.8,31,32,96.9
Trumbo, Mark,444432,-26,0,13,0.0,0,9,0.0,0,8,0.0,12,26,46.2,20,25,80.0
Martinez, J.D.,502110,-27,1,55,1.8,3,27,11.1,14,30,46.7,46,57,80.7,25,35,71.4
Choo, Shin-Soo,425783,-28,1,44,2.3,4,19,21.1,11,32,34.4,32,42,76.2,40,44,90.9
Castellanos, Nick,592206,-33,0,58,0.0,1,20,5.0,11,33,33.3,27,36,75.0,29,38,76.3
Cabrera, Melky,466320,-38,0,85,0.0,3,42,7.1,6,25,24.0,44,58,75.9,52,57,91.2
Kemp, Matt,461314,-49,0,58,0.0,2,36,5.6,12,44,27.3,40,63,63.5,39,44,88.6
